lga,ward,schoolname,school code
 Apapa Local Government Area,la Alafia (Apapa) Ward, Sari Iganmu Primary School Sari-Iganmu (24050174),24050174
 Apapa Local Government Area,la Apapa Ward, Arakan Barracks Primary School Apapa (24050027),24050027
 Apapa Local Government Area,la Apapa Ward, Ladilak Primary School 2 Apapa (24050132),24050132
 Apapa Local Government Area,la Apapa Ward, Methodist Primary School Apapa (24050139),24050139
 Apapa Local Government Area,la Apapa Ward, United Christian Primary School Apapa (24050214),24050214
 Apapa Local Government Area,la Badia Ward, Olojonwon Demonstration Nursery And Primary School (24050367),24050367
 Apapa Local Government Area,la Badia Ward, Olojowon Demonstration School Oke-Oja Badia Apapa (24050148),24050148
 Apapa Local Government Area,la Gaskiya Ward, Badia Primary School Badia Ireti-Owseni S (24050038),24050038
 Apapa Local Government Area,la Gaskiya Ward, Ireti Nursery And Primary School (24050365),24050365
 Apapa Local Government Area,la Ijora Ward, Ijora Primary School Ijora-Oleye (24050113),24050113
 Apapa Local Government Area,la Marine Beach Ward, Anglican Primary School Apapa (24050021),24050021
 Apapa Local Government Area,la Marine Beach Ward, Army Children Primary School Apapa (24050032),24050032
 Apapa Local Government Area,la Marine Beach Ward, Computer Centre Marine Beach (24050379),24050379
 Apapa Local Government Area,la Oduduwa Ward, Baptist Primary School Agbebi Apapa (24050040),24050040
 Apapa Local Government Area,la Oduduwa Ward, Mini Resources Centre Apapa (24050370),24050370
 Apapa Local Government Area,la Oduduwa Ward, State Primary School End Point Apapa (24050194),24050194
 Apapa Local Government Area,la Owoseni Ward, Ajeromi Primary School Badia Ijora (24050006),24050006
 Badagry Local Government Area,Unknown Ward, Anglican Primary School Aradagun Badagry (24060050),24060050
 Badagry Local Government Area,Unknown Ward, Anglican Primary School Gbanko (24060051),24060051
 Badagry Local Government Area,Unknown Ward, Anglican Primary School Ilado (24060052),24060052
 Badagry Local Government Area,Unknown Ward, Anglican Primary School Ilogbo Eremi (24060053),24060053
 Badagry Local Government Area,Unknown Ward, Anglican Primary School Imeke Iworo Ajido (24060054),24060054
 Badagry Local Government Area,Unknown Ward, Anglican Primary School Iworo Ajido Badagry (24060055),24060055
 Badagry Local Government Area,Unknown Ward, Anglican Primary School Toga Zanmu Badagry (24060056),24060056
 Badagry Local Government Area,Unknown Ward, Ansar Ud Deen Primary 2 (24061441),24061441
 Badagry Local Government Area,Unknown Ward, Ansar Ud Deen Primary 3 (24061439),24061439
 Badagry Local Government Area,Unknown Ward, Ansar Ud Deen Primary School Araromi Ale (24060059),24060059
 Badagry Local Government Area,Unknown Ward, Community Primary School Esepe Badagry (24060164),24060164
 Badagry Local Government Area,Unknown Ward, Epeme Primary School Epe Badagry (24060233),24060233
 Badagry Local Government Area,Unknown Ward, Gbenopo Primary School Ajara Topa Badagry (24060289),24060289
 Badagry Local Government Area,Unknown Ward, Gbenopo Primary School Ii Gbenopo (24060290),24060290
 Badagry Local Government Area,Unknown Ward, Local Authority Nursary And Primary School Ipara (24060486),24060486
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Ajara Iluda (24060488),24060488
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Akarakumo Village (24060489),24060489
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Badagry Boekoh (24060490),24060490
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Ebute Gbonuajido Badagry (24060493),24060493
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Ii Ajara (24060492),24060492
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Keta West Badagry (24060495),24060495
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Okogbo Moba (24060028),24060028
 Badagry Local Government Area,Unknown Ward, Local Authority Primary School Topo/Idale (24060498),24060498
 Badagry Local Government Area,Unknown Ward, Methodist Nursery And Primary School (24060540),24060540
 Badagry Local Government Area,Unknown Ward, Methodist Primary School Ashipanu Seme Badagry (24060541),24060541
 Badagry Local Government Area,Unknown Ward, Methodist Primary School Badagry (24060542),24060542
 Badagry Local Government Area,Unknown Ward, Methodist Primary School Enuko (24060543),24060543
 Badagry Local Government Area,Unknown Ward, Methodist Primary School Kweme (24060545),24060545
 Badagry Local Government Area,Unknown Ward, Methodist Primary School Tohon (24060547),24060547
 Badagry Local Government Area,Unknown Ward, Muslim Mission Communityuniyy Primary School (24060566),24060566
 Badagry Local Government Area,Unknown Ward, Muslim Primary School Badagry (24060567),24060567
 Badagry Local Government Area,Unknown Ward, Our Lady Of Apostles Primary School Badagry (24060597),24060597
 Badagry Local Government Area,Unknown Ward, Our Lady Of Fatima Primary School Ganyingbo (24060599),24060599
 Badagry Local Government Area,Unknown Ward, Salvation Army Primary School Anlo Boglo (24060665),24060665
 Badagry Local Government Area,Unknown Ward, Salvation Army Primary School Ikotun (24060667),24060667
 Badagry Local Government Area,Unknown Ward, Salvation Army Primary School Ilogbo Eremi (24060668),24060668
 Badagry Local Government Area,Unknown Ward, St Leos Catholic Primary School Ikoga (24060708),24060708
 Badagry Local Government Area,Unknown Ward, St Patrick (Rcm) Primary School Iragbo/Iragon (24060713),24060713
 Badagry Local Government Area,Unknown Ward, St Peters Catholic Primary School Agonrin (24060714),24060714
 Badagry Local Government Area,Unknown Ward, St Thomass Primary School (24060717),24060717
 Badagry Local Government Area,Unknown Ward, Unity Primary School Ajido (24060786),24060786
 Badagry Local Government Area,Unknown Ward, Zunve Primary School Zunve (24060828),24060828
 Badagry Local Government Area,la Ajara Vetho Ward, Army Children Primary School Ibereko Badagry (24060065),24060065
 Badagry Local Government Area,la Ajara Vetho Ward, Local Authority Primary School Ibereko (24060491),24060491
 Badagry Local Government Area,la Apa Ward, Local Authority Primary School Owode Apa (24060497),24060497
 Badagry Local Government Area,la Araromi Ale Ward, Morogbo Primary School Morogbo (24060562),24060562
 Badagry Local Government Area,la Araromi Ale Ward, Salvation Army Primary School Ibiye (24060666),24060666
 Badagry Local Government Area,la Gbethronme Ward, Methodist Primary School Sawa (24060546),24060546
 Badagry Local Government Area,la Isalu-Iyafin Ward, Anglican Primary School 1 Igborosun (24060049),24060049
 Badagry Local Government Area,la Isalu-Iyafin Ward, Anglician Primary School Ii Igborosun (24060057),24060057
 Badagry Local Government Area,la Isalu-Iyafin Ward, Methodist Primary School Erekiti (24060544),24060544
 Badagry Local Government Area,la Iworo Gbankon Ward, Our Lady Of Apostle Nursery And Primary School Ojogun (24060041),24060041
 Epe Local Government Area,Unknown Ward, Agbowa Baptist Church Nursery And Primary School (24070552),24070552
 Epe Local Government Area,Unknown Ward, Ansar Ud Deen Primary School Epe (24070018),24070018
 Epe Local Government Area,Unknown Ward, Ansar Ud Deen Primary School Ibonwon (24070017),24070017
 Epe Local Government Area,Unknown Ward, Ansarul Deen Primary School Odo Egiri (24070019),24070019
 Epe Local Government Area,Unknown Ward, Baptist Day Primary School Agbowa (24070031),24070031
 Epe Local Government Area,Unknown Ward, Home Economics Centre At St Theresas Primary School Compound (24070122),24070122
 Epe Local Government Area,Unknown Ward, Home Economics Centre Methodist Primary School Compound Agbowa Ikosi (24070126),24070126
 Epe Local Government Area,Unknown Ward, Home Economics Centre Rcm Primary School Ibonwon (24070124),24070124
 Epe Local Government Area,Unknown Ward, Local Government Central Primary School Agbowa Ikosi (24070152),24070152
 Epe Local Government Area,Unknown Ward, Local Government Central Primary School Agbowa Ikosi (24070515),24070515
 Epe Local Government Area,Unknown Ward, Local Government Primary School Abejoye (24070439),24070439
 Epe Local Government Area,Unknown Ward, Local Government Primary School Abomit Epe (24070535),24070535
 Epe Local Government Area,Unknown Ward, Local Government Primary School Abomiti (24070154),24070154
 Epe Local Government Area,Unknown Ward, Local Government Primary School Aboreji (24070155),24070155
 Epe Local Government Area,Unknown Ward, Local Government Primary School Emina Riverine (24070157),24070157
 Epe Local Government Area,Unknown Ward, Local Government Primary School Ibon Epe (24070158),24070158
 Epe Local Government Area,Unknown Ward, Local Government Primary School Igbogun Village (24070159),24070159
 Epe Local Government Area,Unknown Ward, Local Government Primary School Igbooye (24070160),24070160
 Epe Local Government Area,Unknown Ward, Local Government Primary School Imeki Oke Via Ilamija (24070161),24070161
 Epe Local Government Area,Unknown Ward, Local Government Primary School Imosan Okun Imosan (24070162),24070162
 Epe Local Government Area,Unknown Ward, Local Government Primary School Ipesu Epe (24070163),24070163
 Epe Local Government Area,Unknown Ward, Local Government Primary School Isan (24070511),24070511
 Epe Local Government Area,Unknown Ward, Local Government Primary School Isan Epe (24070028),24070028
 Epe Local Government Area,Unknown Ward, Local Government Primary School Ise Village (24070165),24070165
 Epe Local Government Area,Unknown Ward, Local Government Primary School Ito Omu Epe (24070166),24070166
 Epe Local Government Area,Unknown Ward, Local Government Primary School Ladaba Village (24070167),24070167
 Epe Local Government Area,Unknown Ward, Local Government Primary School Mayunre Village (24070169),24070169
 Epe Local Government Area,Unknown Ward, Local Government Primary School Moyopa Village (24070170),24070170
 Epe Local Government Area,Unknown Ward, Local Government Primary School Obada Village (24070172),24070172
 Epe Local Government Area,Unknown Ward, Local Government Primary School Oguntedo (24070173),24070173
 Epe Local Government Area,Unknown Ward, Local Government Primary School Okorisan (24070174),24070174
 Epe Local Government Area,Unknown Ward, Local Government Primary School Orepete (24070175),24070175
 Epe Local Government Area,Unknown Ward, Local Government Primary School Oriba (24070176),24070176
 Epe Local Government Area,Unknown Ward, Local Government Primary School Otta Ikosi (24070177),24070177
 Epe Local Government Area,Unknown Ward, Local Government Primary School Yegunda (24070178),24070178
 Epe Local Government Area,Unknown Ward, Local Government Primary Schoolikosibeach (24070156),24070156
 Epe Local Government Area,Unknown Ward, Rcm Primary School Itoikin (24070220),24070220
 Epe Local Government Area,Unknown Ward, Rcm Primary School Ketu E (24070221),24070221
 Epe Local Government Area,Unknown Ward, Roman Catholic Mission (24070407),24070407
 Epe Local Government Area,Unknown Ward, Roman Catholic Mission Primary Schoolejinrin (24070229),24070229
 Epe Local Government Area,Unknown Ward, Saint Vincent Rcm Primary School Ijih (24070578),24070578
 Epe Local Government Area,Unknown Ward, St James Anglican Primary School Museju/Mutakun (24070243),24070243
 Epe Local Government Area,Unknown Ward, St John Rcm Primary School Odomola Epe Ijebu (24070244),24070244
 Epe Local Government Area,Unknown Ward, St Johns Anglican Primary School Oke Oso Oke Oso Village (24070245),24070245
 Epe Local Government Area,Unknown Ward, St Joseph Rcm Primary School Ibonwon (24070512),24070512
 Epe Local Government Area,Unknown Ward, St Peter&#39S Roman Catholic Mission Primary School Eredo (24070253),24070253
 Epe Local Government Area,Unknown Ward, St Stephens Rcm Primary School Igbonla (24070254),24070254
 Epe Local Government Area,Unknown Ward, U P E Primary School Ajengbede Village (24070280),24070280
 Epe Local Government Area,Unknown Ward, U P E Primary School Akodo Ise (24070277),24070277
 Epe Local Government Area,Unknown Ward, U P E Primary School Iganke (24070281),24070281
 Epe Local Government Area,Unknown Ward, U P E Primary School Imokun (24070283),24070283
 Epe Local Government Area,Unknown Ward, U P E Primary School Iraye Oke (24070279),24070279
 Epe Local Government Area,Unknown Ward, U P E Primary School Odo Ayandelu (24070284),24070284
 Epe Local Government Area,Unknown Ward, U P E Primary School Odogbawojo (24070285),24070285
 Epe Local Government Area,Unknown Ward, Universal Primary School Ilara (24070286),24070286
 Epe Local Government Area,la Agbowa Ward, Methodist Primary School Agbowa-Ikosi (24070187),24070187
 Epe Local Government Area,la Ejinrin Ward Q1, Anglican Primary School Sekungba (24070016),24070016
 Epe Local Government Area,la Ifesowapo Ward, Anglican Primary School Sala (24070015),24070015
 Epe Local Government Area,la Ifesowapo Ward, Rcm Primary School Igbodu (24070219),24070219
 Epe Local Government Area,la Ifesowapo Ward, U P E Primary School Igbodu Igbodu Riverine (24070278),24070278
 Epe Local Government Area,la Noforija Ward, Rcm Primary School Mojoda (24070222),24070222
 Epe Local Government Area,la Odomola Ward M1, Anglican Primary School Ebute-Afuye (24070014),24070014
 Epe Local Government Area,la Odomola Ward M1, Army Barracks Primary School Oke-Oyinbo Epe (24070021),24070021
 Epe Local Government Area,la Odomola Ward M1, Army Children Primary School Oke-Oyinbo Epe (24070023),24070023
 Epe Local Government Area,la Odomola Ward M1, Art &Amp Craft Centre At Local Govt Primary School Compound Epe (24070024),24070024
 Epe Local Government Area,la Odomola Ward M1, Art And Craft Centre Luyepo Primary School Epe (24070025),24070025
 Epe Local Government Area,la Odomola Ward M1, Christ Church Primary School Epe (24070053),24070053
 Epe Local Government Area,la Odomola Ward M1, Community Primary School 1 Erepoto Epe (24070536),24070536
 Epe Local Government Area,la Odomola Ward M1, Community Primary School 1 Erepoto Epe (24070564),24070564
 Epe Local Government Area,la Odomola Ward M1, Community Primary School Erepoto Ii (24070061),24070061
 Epe Local Government Area,la Odomola Ward M1, Computer Centre C/O Local Govt Central Primary School Epe (24070063),24070063
 Epe Local Government Area,la Odomola Ward M1, Computer Centre St Theresas Primary School Compound (24070064),24070064
 Epe Local Government Area,la Odomola Ward M1, Home Economics Centre Pobo Community Primary School Poka (24070123),24070123
 Epe Local Government Area,la Odomola Ward M1, Home Economics Centre Zi Primary School Epe (24070125),24070125
 Epe Local Government Area,la Odomola Ward M1, Local Government Central Primary School Epe (24070153),24070153
 Epe Local Government Area,la Odomola Ward M1, Local Government Primary School Noforija (24070171),24070171
 Epe Local Government Area,la Odomola Ward M1, Lupetoro Primary School Epe (24070181),24070181
 Epe Local Government Area,la Odomola Ward M1, Luyepo Primary School Epe (24070182),24070182
 Epe Local Government Area,la Odomola Ward M1, Mini Resource Centre Lgea Epe (24070190),24070190
 Epe Local Government Area,la Odomola Ward M1, Solomon Memorial Primary School Epe (24070240),24070240
 Epe Local Government Area,la Odomola Ward M1, St Micheal Anglican Primary School Ii Popo Oba Lagbade (24070249),24070249
 Epe Local Government Area,la Odomola Ward M1, St Micheal&39S Anglican Primary School Popo-Oba Epe (24070250),24070250
 Epe Local Government Area,la Odomola Ward M1, St Paul&39S Anglican Primary School Igbooye (24070252),24070252
 Epe Local Government Area,la Odomola Ward M1, St Theresas Rcm Primary School Oke Oyinbo (24070255),24070255
 Epe Local Government Area,la Odomola Ward M1, Zumratul Islamimiyyat Primary School Ii Epe (24070291),24070291
 Epe Local Government Area,la Odomola Ward M1, Zumratul Islamiyyah Primary School Epe (24070292),24070292
 Epe Local Government Area,la Odoragunsin Ward, Government Demonstration Primary School Lacoped Noforija (24070116),24070116
 Epe Local Government Area,la Odoragunsin Ward, Pobo Primary School Poka (24070214),24070214
 Epe Local Government Area,la Owu/Ota Ward, Anglican Primary School Ajebo (24070013),24070013
 Epe Local Government Area,la Owu/Ota Ward, St Angnes R C M Primary School Orugbo (24070242),24070242
 Eti-Osa Local Government Area,Unknown Ward, Addo Primary School Addo (24080760),24080760
 Eti-Osa Local Government Area,Unknown Ward, Ajiran Primary School Ajiran (24080006),24080006
 Eti-Osa Local Government Area,Unknown Ward, Akinlade Primary School Okun Mopu (24080008),24080008
 Eti-Osa Local Government Area,Unknown Ward, Arch Bishop Taylor Memorial Primary School Eti Osa (24080014),24080014
 Eti-Osa Local Government Area,Unknown Ward, Army Children Primary School Dodan Barracks Ikoyi (24080015),24080015
 Eti-Osa Local Government Area,Unknown Ward, Army Children Primary School Eti Osa (24080016),24080016
 Eti-Osa Local Government Area,Unknown Ward, Awoyaya Primary School Awoyaya (24080020),24080020
 Eti-Osa Local Government Area,Unknown Ward, Badore Primary School Badore (24080022),24080022
 Eti-Osa Local Government Area,Unknown Ward, Bonny Camp Primary School Eti Osa (24080029),24080029
 Eti-Osa Local Government Area,Unknown Ward, Computer Centre Keffi (24080038),24080038
 Eti-Osa Local Government Area,Unknown Ward, Dodan Barracks Primary School Obalende (24080052),24080052
 Eti-Osa Local Government Area,Unknown Ward, Epiphany Anglican Primary School Abagbo (24080058),24080058
 Eti-Osa Local Government Area,Unknown Ward, Federal Housing Estate Primary School Eti Osa (24080063),24080063
 Eti-Osa Local Government Area,Unknown Ward, Home Economics And Arts/Craft Centre Keffi (24080085),24080085
 Eti-Osa Local Government Area,Unknown Ward, Home Economics Arts And Craft Centre Olomu Ajah (24080553),24080553
 Eti-Osa Local Government Area,Unknown Ward, Hon Kazeem Alimi Memorial Nursery And Primary School (24080554),24080554
 Eti-Osa Local Government Area,Unknown Ward, Hope Primary School Ikoyi (24080087),24080087
 Eti-Osa Local Government Area,Unknown Ward, Ikota Computer Centre (24080550),24080550
 Eti-Osa Local Government Area,Unknown Ward, Ikota Primary School Ikota (24080088),24080088
 Eti-Osa Local Government Area,Unknown Ward, Ikoyi Girls Modern Academy Ikoyi (24080089),24080089
 Eti-Osa Local Government Area,Unknown Ward, Ikoyi Primary School Ikoyi (24080090),24080090
 Eti-Osa Local Government Area,Unknown Ward, Ilasan Primary School Ilesan (24080092),24080092
 Eti-Osa Local Government Area,Unknown Ward, Ireti Girls Primary School Ireti (24080097),24080097
 Eti-Osa Local Government Area,Unknown Ward, Ireti Primary School Ireti (24080099),24080099
 Eti-Osa Local Government Area,Unknown Ward, Itedo Community Primary School Itedo (24080100),24080100
 Eti-Osa Local Government Area,Unknown Ward, Jama Atul Islamiyya Primary School Eti Osa (24080101),24080101
 Eti-Osa Local Government Area,Unknown Ward, Jinadu Anglican Primary School Jinadu (24080102),24080102
 Eti-Osa Local Government Area,Unknown Ward, Kuramo Computer Centre (24080110),24080110
 Eti-Osa Local Government Area,Unknown Ward, Kuramo Primary School Kuramo (24080111),24080111
 Eti-Osa Local Government Area,Unknown Ward, Lagos State Model Nursey And Primary School Eti Osa (24080114),24080114
 Eti-Osa Local Government Area,Unknown Ward, Langbasa Primary School Langbasa (24080115),24080115
 Eti-Osa Local Government Area,Unknown Ward, Maiyegun Community Primary School Maiyegun (24080128),24080128
 Eti-Osa Local Government Area,Unknown Ward, Mini Resources Centre (24080137),24080137
 Eti-Osa Local Government Area,Unknown Ward, Obalende Primary School Obalende (24080140),24080140
 Eti-Osa Local Government Area,Unknown Ward, Obalende Primary Schoolijeh (24080138),24080138
 Eti-Osa Local Government Area,Unknown Ward, Ogbombo Communityunity Primary School Ogbombo (24080143),24080143
 Eti-Osa Local Government Area,Unknown Ward, Okun Ajah Primary School Okun Ajah (24080145),24080145
 Eti-Osa Local Government Area,Unknown Ward, Olomu Computer Centre (24080552),24080552
 Eti-Osa Local Government Area,Unknown Ward, Olomu Primary School Olomu (24080147),24080147
 Eti-Osa Local Government Area,Unknown Ward, Police Children School Ii (24080443),24080443
 Eti-Osa Local Government Area,Unknown Ward, Sangotedo Primary School Sangotedo (24080161),24080161
 Eti-Osa Local Government Area,Unknown Ward, St Georges Boys Primary School Eti Osa (24080167),24080167
 Eti-Osa Local Government Area,Unknown Ward, St Georges Girls Primary School Eti Osa (24080168),24080168
 Eti-Osa Local Government Area,Unknown Ward, Victoria Island Computer Cenre (24080185),24080185
 Eti-Osa Local Government Area,Unknown Ward, Victoria Island Primary School Victoria Island (24080186),24080186
 Ibeju/Lekki Local Government Area,Unknown Ward, Akinwunmi Ambode Nursery And Primary School (24090604),24090604
 Ibeju/Lekki Local Government Area,Unknown Ward, Anwar Ul Islam Primary School Ibeju Lekki (24090015),24090015
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School (24090609),24090609
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School (24090669),24090669
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Abegede (24090047),24090047
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Abijo (24090048),24090048
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Adeba (24090046),24090046
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Ajegbenwa (24090049),24090049
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Eputu (24090050),24090050
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Folu (24090051),24090051
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Iba Oloja (24090052),24090052
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Igbodola (24090053),24090053
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Labora (24090628),24090628
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Lakowe (24090054),24090054
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Ogogoro (24090055),24090055
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Okegun Odofin (24090056),24090056
 Ibeju/Lekki Local Government Area,Unknown Ward, Community Primary School Otolu (24090057),24090057
 Ibeju/Lekki Local Government Area,Unknown Ward, Computer Center Lekki (24090059),24090059
 Ibeju/Lekki Local Government Area,Unknown Ward, Fazil Omar Ahmadiya Primary School Idado (24090104),24090104
 Ibeju/Lekki Local Government Area,Unknown Ward, Home Economic Center Ijebu/Lekkilekki (24090139),24090139
 Ibeju/Lekki Local Government Area,Unknown Ward, Home Economic Center Saint Peter Ps (24090648),24090648
 Ibeju/Lekki Local Government Area,Unknown Ward, Ibeju Computer Centre Ibeju (24090142),24090142
 Ibeju/Lekki Local Government Area,Unknown Ward, Local Government Primary School Akodo (24090178),24090178
 Ibeju/Lekki Local Government Area,Unknown Ward, Local Government Primary School Ilege (24090180),24090180
 Ibeju/Lekki Local Government Area,Unknown Ward, Local Government Primary School Okun Solu (24090182),24090182
 Ibeju/Lekki Local Government Area,Unknown Ward, Local Government Primary School Oriyanrin (24090183),24090183
 Ibeju/Lekki Local Government Area,Unknown Ward, Mini Resource Center Ibeju (24090201),24090201
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Ayeteju (24090233),24090233
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Bogije (24090234),24090234
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Idata (24090235),24090235
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Iwerekun (24090236),24090236
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Lepia (24090237),24090237
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Okegun (24090238),24090238
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Okunraye (24090239),24090239
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Olomowewe (24090240),24090240
 Ibeju/Lekki Local Government Area,Unknown Ward, Rcm Primary School Orimedu (24090241),24090241
 Ibeju/Lekki Local Government Area,Unknown Ward, Roman Catholic Mission Central Primary School Lekki (24090251),24090251
 Ibeju/Lekki Local Government Area,Unknown Ward, Roman Catholic Mission Primary School Ibeju (24090252),24090252
 Ibeju/Lekki Local Government Area,Unknown Ward, St Davids Anglican Primary School Ibeju Lekki (24090264),24090264
 Ibeju/Lekki Local Government Area,Unknown Ward, St Marks Rcm Primary School Awoyaya (24090265),24090265
 Ibeju/Lekki Local Government Area,Unknown Ward, St Peter&#39S Anglican Primary School Ibeju (24090266),24090266
 Ibeju/Lekki Local Government Area,Unknown Ward, St Vincents Rcm Primary School Idotun (24090267),24090267
 Ibeju/Lekki Local Government Area,Unknown Ward, Tsangaya Primaryschool Orofun (24090302),24090302
 Ibeju/Lekki Local Government Area,Unknown Ward, Upe Primary School Ibeju Lekki (24090303),24090303
 Ifako/Ijaye Local Government Area,Unknown Ward, African Church Computer Center (24101294),24101294
 Ifako/Ijaye Local Government Area,Unknown Ward, African Church Primary School Ifako Ijaye (24100010),24100010
 Ifako/Ijaye Local Government Area,Unknown Ward, Agbado Ijaiye Primary School Ifako Ijaye (24100014),24100014
 Ifako/Ijaye Local Government Area,Unknown Ward, Agbado Ijaye Primary School I Alakashe Ojokoro (24100013),24100013
 Ifako/Ijaye Local Government Area,Unknown Ward, All Saints Primary School Iju Gareje (24100021),24100021
 Ifako/Ijaye Local Government Area,Unknown Ward, Art And Craft Centre 1 (24101304),24101304
 Ifako/Ijaye Local Government Area,Unknown Ward, Art&Amp Craft Centre 2 (24100034),24100034
 Ifako/Ijaye Local Government Area,Unknown Ward, Ayanleye Memorial Primary School Afako Ijaye (24100041),24100041
 Ifako/Ijaye Local Government Area,Unknown Ward, Bishop Oluwole Primary School Afako Ijaye (24100069),24100069
 Ifako/Ijaye Local Government Area,Unknown Ward, Coker Mem Primary School Afako Ijaye (24100120),24100120
 Ifako/Ijaye Local Government Area,Unknown Ward, Computer Center First African Church Mission Primary School 1 (24101300),24101300
 Ifako/Ijaye Local Government Area,Unknown Ward, Computer Center New Oko Oba Primary School (24101302),24101302
 Ifako/Ijaye Local Government Area,Unknown Ward, Ebenezer African Primary School Ll Afako Ijaye (24100198),24100198
 Ifako/Ijaye Local Government Area,Unknown Ward, First African Church Mission Primary School 2 (24101293),24101293
 Ifako/Ijaye Local Government Area,Unknown Ward, First African Church Mission Primary School One (24100248),24100248
 Ifako/Ijaye Local Government Area,Unknown Ward, Fred Williams Memorial Primary School Iju Railway Station (24100259),24100259
 Ifako/Ijaye Local Government Area,Unknown Ward, Gbeleyi Primary School I Alakuko (24100271),24100271
 Ifako/Ijaye Local Government Area,Unknown Ward, Gbeleyi Primary School Ii Afako Ijaeyi (24100270),24100270
 Ifako/Ijaye Local Government Area,Unknown Ward, Holy Trinity Primary School Egbetedo (24100336),24100336
 Ifako/Ijaye Local Government Area,Unknown Ward, Home Economics Centre 11 Iju Ifako Ijaiye (24100338),24100338
 Ifako/Ijaye Local Government Area,Unknown Ward, Iju Station Primary School I Iju Station (24100355),24100355
 Ifako/Ijaye Local Government Area,Unknown Ward, Iju Station Primary School Ii Iju (24100356),24100356
 Ifako/Ijaye Local Government Area,Unknown Ward, Karaole Primary School Afako Ijaeyi (24100390),24100390
 Ifako/Ijaye Local Government Area,Unknown Ward, New Oko Oba Primary School New Oko Oba (24100483),24100483
 Ifako/Ijaye Local Government Area,Unknown Ward, Ogundimu Primary School Iju (24100492),24100492
 Ifako/Ijaye Local Government Area,Unknown Ward, Saviour&#39S Primary Schoool Afako Ajaeyi (24100586),24100586
 Ifako/Ijaye Local Government Area,Unknown Ward, St Kizitos Catholic Primary School 11 Ifako Ajaeyi (24100614),24100614
 Ifako/Ijaye Local Government Area,Unknown Ward, Vetland Primary School Oko Oba (24100684),24100684
 Ifako/Ijaye Local Government Area,Unknown Ward, Wesley Primary School Oko Oba (24100688),24100688
 Ikeja Local Government Area,Unknown Ward, Adeniyi Jones Primary School Okora Estate Ikeja (24110005),24110005
 Ikeja Local Government Area,Unknown Ward, Aiforce Primary School 3 (24110541),24110541
 Ikeja Local Government Area,Unknown Ward, Air Force Primary School 2 Naf (24110011),24110011
 Ikeja Local Government Area,Unknown Ward, Air Force Primary School I Naf (24110012),24110012
 Ikeja Local Government Area,Unknown Ward, Anifowase Primary Schoolikeja (24110017),24110017
 Ikeja Local Government Area,Unknown Ward, Army Barracks Primary School Ikeja (24110018),24110018
 Ikeja Local Government Area,Unknown Ward, Army Children Primary School Ikeja (24110021),24110021
 Ikeja Local Government Area,Unknown Ward, Army Model Primary School Cantonment Ikeja (24110022),24110022
 Ikeja Local Government Area,Unknown Ward, Bola Memorial Primary School Abule Anigbagbo Ikeja (24110035),24110035
 Ikeja Local Government Area,Unknown Ward, Brigade Primary School Ikeja (24110037),24110037
 Ikeja Local Government Area,Unknown Ward, Central Primary School Gra Ikeja (24110043),24110043
 Ikeja Local Government Area,Unknown Ward, Command Children School Nigerian Army Cantonment Ikeja (24110562),24110562
 Ikeja Local Government Area,Unknown Ward, Communityunity Primary School Wasimi Ikeja (24110056),24110056
 Ikeja Local Government Area,Unknown Ward, Estate Primary School Ogba Ikeja (24110080),24110080
 Ikeja Local Government Area,Unknown Ward, Gra Primary School Maryland Ikeja (24110096),24110096
 Ikeja Local Government Area,Unknown Ward, Ikeja Primary School Gra Ikeja (24110116),24110116
 Ikeja Local Government Area,Unknown Ward, Lagos State Model Nursery And Primary School Ikeja (24110127),24110127
